,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
330,331,Nemanja Zelenovic,GUM,Right Back,4,,1,7,14.29 %,2022/23
331,332,Peter Johannesson,BHC,Goalkeeper,34,,1,3,33.33 %,2022/23
332,333,Johannes Bitter,HSV,unknown,26,,1,1,100.00 %,2022/23
333,334,Niklas Landin Jacobsen,THW,Goalkeeper,34,,1,2,50.00 %,2022/23
334,335,Tim Rüdiger,WET,Right Wing,3,,1,1,100.00 %,2022/23
335,336,Malte Voigt,THW,Left Wing,3,,1,4,25.00 %,2022/23
336,337,Jan-Luca Mauch,TVB,Right Back,1,,1,5,20.00 %,2022/23
337,338,Julius Meyer-Siebert,LEI,unknown,7,,1,6,16.67 %,2022/23
338,339,Dejan Milosavljev,BER,Goalkeeper,29,,1,5,20.00 %,2022/23
339,340,Anadin Suljakovic,WET,Goalkeeper,31,,1,1,100.00 %,2022/23
340,341,Daniel Weber,HAN,Right Wing,3,,1,2,50.00 %,2022/23
341,342,Jann Keno Jacobs,BER,unknown,1,,1,1,100.00 %,2022/23
342,343,Ivan Budalic,HSV,Goalkeeper,18,,1,1,100.00 %,2022/23
343,344,Leon Kirschberger,SGF,Right Wing,15,,1,2,50.00 %,2022/23
344,345,Koray Ayar,HAN,Pivot,17,,1,1,100.00 %,2022/23
345,346,Henri Pabst,THW,Right Back,16,,1,5,20.00 %,2022/23
346,347,Levin Unbehaun,HSV,Right Wing,4,,0,0,,2022/23
347,348,Frederik Kim Adam,SGF,Left Wing,2,,,,,2022/23
348,349,Patrick Mattausch,GWD,Centre Back,5,,0,2,0.00 %,2022/23
349,350,Theodor Teuteberg,GWD,Right Back,4,,0,2,0.00 %,2022/23
350,351,Fabio Justin Fenske,GWD,Pivot,2,,0,0,,2022/23
351,352,Leon Goldbecker,TBV,Goalkeeper,1,,0,0,,2022/23
352,353,Ben Büscher,BHC,Left Back,1,,,,,2022/23
353,354,Fabian Lucas,TVB,Centre Back,1,,,,,2022/23
354,355,Silas Overby,BER,Left Back,4,,0,0,,2022/23
355,356,Valentin Abt,FAG,Centre Back,2,,0,2,0.00 %,2022/23
356,357,Mateusz Martyn,LEI,Pivot,1,,,,,2022/23
357,358,Heinrich Bredemeier,GWD,Right Wing,1,,,,,2022/23
358,359,Tim Kloor,SCM,Right Wing,7,,,,,2022/23
359,360,Ben Kjell Schmitt,SGF,Goalkeeper,2,,,,,2022/23
360,361,Gregor Lieke,HSV,Left Wing,1,,,,,2022/23
361,362,Tim Maximilian Hertzfeld,SCM,Pivot,1,,,,,2022/23
362,363,Dennis Stegemeyer,TVB,Goalkeeper,1,,,,,2022/23
363,364,Kollmeier Henrik,HAN,Right Back,3,,,,,2022/23
364,365,Tom Wolf,MTM,Left Back,1,,,,,2022/23
365,366,Malte Runge,TBV,Right Wing,2,,,,,2022/23
366,367,Elias Ruddat,SCM,Left Wing,3,,,,,2022/23
367,368,Luc Depping,HAN,Right Wing,3,,0,0,,2022/23
368,369,Moritz Köster,GUM,Left Back,3,,,,,2022/23
369,370,Jan Wesemann,ASV,Goalkeeper,1,,0,0,,2022/23
370,371,Felix Backhaus,HAN,Goalkeeper,2,,0,0,,2022/23
371,372,Finn Luca Gründel,HSV,Goalkeeper,1,,,,,2022/23
372,373,Oskar Czertowicz,SGF,Centre Back,3,,,,,2022/23
373,374,Nils Greilich,LEI,Left Wing,1,,,,,2022/23
374,375,Manuel Hörr,MTM,Centre Back,6,,,,,2022/23
375,376,Michael Haßferter,HCE,Goalkeeper,1,,0,0,,2022/23
376,377,Joel Birlehm,RNL,Goalkeeper,27,,0,1,0.00 %,2022/23
377,378,Daniel Rebmann,FAG,Goalkeeper,34,,0,0,,2022/23
378,379,Malte Semisch,GWD,Goalkeeper,34,,0,2,0.00 %,2022/23
379,380,Csaba Szücs,BHC,Centre Back,13,,0,1,0.00 %,2022/23
380,381,Bastian Roscheck,HAN,Pivot,8,,0,0,,2022/23
381,382,Moritz Preuss,SCM,Pivot,1,,,,,2022/23
382,383,Benedikt Kellner,HCE,Centre Back,2,,,,,2022/23
383,384,Markus Fuchs,ASV,Left Back,27,,0,1,0.00 %,2022/23
384,385,Felix Hertlein,ASV,unknown,33,,0,1,0.00 %,2022/23
385,386,Jonas Hönicke,LEI,Centre Back,3,,,,,2022/23
386,387,Finn Zecher,TBV,Goalkeeper,34,,0,3,0.00 %,2022/23
387,388,Moritz Ende,BER,Right Wing,14,,,,,2022/23
388,389,Nick Lehmann,TVB,Goalkeeper,2,,,,,2022/23
389,390,Borko Ristovski,TBV,Goalkeeper,9,,0,0,,2022/23
390,391,Petar Juric,HAN,Centre Back,7,,0,0,,2022/23
391,392,Urh Kastelic,TBV,Goalkeeper,23,,0,3,0.00 %,2022/23
392,393,Tom Göres,BER,Goalkeeper,2,,0,0,,2022/23
393,394,Marvin Kix,BER,Centre Back,1,,,,,2022/23
394,395,Julius Fanger,GUM,Centre Back,6,,0,0,,2022/23
395,396,Lasse Ludwig,BER,Goalkeeper,6,,0,0,,2022/23
396,397,Pascal Bochmann,LEI,Goalkeeper,3,,0,0,,2022/23
397,398,Timon Mühlenstädt,TBV,Goalkeeper,1,,0,0,,2022/23
398,399,Kristian Sæverås,LEI,Goalkeeper,34,,0,6,0.00 %,2022/23
399,400,Louis Oberosler,BHC,Goalkeeper,1,,0,0,,2022/23
400,401,Mohamed Essam Moustafa El-Tayar,LEI,Goalkeeper,31,,0,0,,2022/23
401,402,Francisco Pereira,BER,Right Wing,1,,,,,2022/23
402,403,Paul Bones,LEI,Centre Back,4,,0,1,0.00 %,2022/23
403,404,Alexander Pinski,HSV,Goalkeeper,10,,0,0,,2022/23
404,405,Max Niemann,HSV,Centre Back,10,,0,0,,2022/23
405,406,Mats Ove Quardfasel,HSV,Right Wing,1,,,,,2022/23
406,407,Maduwuike Okpara,WET,Pivot,5,,,,,2022/23
407,408,Felix Eisele,FAG,Right Wing,2,,,,,2022/23
408,409,Nico Bacani,TVB,Right Wing,4,,,,,2022/23
409,410,Bendiks Bo Asmuß,SGF,Goalkeeper,1,,0,0,,2022/23
410,411,Victor Kireev,BER,Goalkeeper,31,,0,0,,2022/23
411,412,Thore Oetjen,TBV,Pivot,2,,,,,2022/23
412,413,Matteo Ehlers,HAN,Left Back,2,,,,,2022/23
413,414,Julian Buchele,FAG,Goalkeeper,3,,0,0,,2022/23
414,415,Niclas Behrendt,SCM,Goalkeeper,2,,0,0,,2022/23
415,416,Mats Grupe,RNL,Goalkeeper,1,,0,0,,2022/23
416,417,Yannik Wissmann,TVB,Left Wing,3,,0,1,0.00 %,2022/23
417,418,Yahav Shamir,GWD,Goalkeeper,33,,0,0,,2022/23
418,419,Adam Morawski,MTM,Goalkeeper,34,,0,1,0.00 %,2022/23
419,420,Leonard Grazioli,WET,Goalkeeper,4,,0,0,,2022/23
420,421,Thomas Houtepen,TBV,Centre Back,14,,0,1,0.00 %,2022/23
421,422,Niklas Gautzsch,HAN,Left Back,7,,,,,2022/23
422,423,Bertram Obling,HCE,Goalkeeper,33,,0,3,0.00 %,2022/23
423,424,Fabian Norsten,GUM,Goalkeeper,34,,0,2,0.00 %,2022/23
424,425,Lucas Grabitz,GWD,unknown,7,,0,0,,2022/23
425,426,Lars Mitchell Kooij,ASV,Pivot,4,,,,,2022/23
426,427,Noah Moussa,ASV,Left Back,2,,0,1,0.00 %,2022/23
